,0
TotalCharges,0.18600147282350885
MonthlyCharges,0.17491836101888114
tenure,0.15334944152061053
InternetService_Fiber optic,0.046940400448607464
PaymentMethod_Electronic check,0.03851941989423391
Contract_Two year,0.03088158157205375
gender_Male,0.02835904214328576
PaperlessBilling,0.027006048378330365
Partner,0.023635741249989642
Contract_One year,0.023141248216764866
OnlineSecurity,0.022735857518452692
OnlineBackup,0.02128340635008476
TechSupport,0.02115726493838014
SeniorCitizen,0.021068638827447344
tenure_group_48+,0.0205593000440661
MultipleLines,0.020458427318532937
Dependents,0.019756830156923824
DeviceProtection,0.01873522941558969
InternetService_No,0.017849098768787805
StreamingMovies,0.017442213915406915
StreamingTV,0.016853646902838807
PaymentMethod_Credit card (automatic),0.013508422324060618
PaymentMethod_Mailed check,0.012765703658860735
tenure_group_24-48,0.008526965625979672
tenure_group_12-24,0.00763990973222457
PhoneService,0.006906327236097196
